token_address,from_address,to_address,value,transaction_index,transaction_hash,block_number,reserve_data
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x93793bd1f3e35a0efd098c30e486a860a0ef7551,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,22029750,0,0x69baaa90dbd8190f7942958a7e53f6a217e50f2c8a1ec66f6a43ce7b9fad1afb,22029750,0x0000000000000000000000000000000000000000000000000002625caf02c2b80000000000000000000000000000000000000000000049acf2b44b4868f2bf7d
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,155406423441,0,0x69baaa90dbd8190f7942958a7e53f6a217e50f2c8a1ec66f6a43ce7b9fad1afb,22029750,0x0000000000000000000000000000000000000000000000000002625caf02c2b80000000000000000000000000000000000000000000049acf2b44b4868f2bf7d
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,80590064753649947790,0,0x69baaa90dbd8190f7942958a7e53f6a217e50f2c8a1ec66f6a43ce7b9fad1afb,22029750,0x0000000000000000000000000000000000000000000000000002625caf02c2b80000000000000000000000000000000000000000000049acf2b44b4868f2bf7d
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x93793bd1f3e35a0efd098c30e486a860a0ef7551,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,22029750,1,0xa659fd0699ba0635f1c790462bc8aee09aedd4d0786dbfbb9c59ddf30bd7464d,22029750,
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x52aa899454998be5b000ad077a46bbe360f4e497,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,41871319003,1,0xa659fd0699ba0635f1c790462bc8aee09aedd4d0786dbfbb9c59ddf30bd7464d,22029750,
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x93793bd1f3e35a0efd098c30e486a860a0ef7551,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,22029750,2,0x4b76f2ee98eb531e822129b538aeee89ad0498bff096cede440fea3580cc3d76,22029750,0x00000000000000000000000000000000000000000000127e7c9e56145d6a31f90000000000000000000000000000000000000000000000000000993bced83d17
0xdac17f958d2ee523a2206206994597c13d831ec7,0x11b815efb8f581194ae79006d24e0d814b7697f6,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,20102757944,2,0x4b76f2ee98eb531e822129b538aeee89ad0498bff096cede440fea3580cc3d76,22029750,0x00000000000000000000000000000000000000000000127e7c9e56145d6a31f90000000000000000000000000000000000000000000000000000993bced83d17
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0x11b815efb8f581194ae79006d24e0d814b7697f6,10424608623764738689,2,0x4b76f2ee98eb531e822129b538aeee89ad0498bff096cede440fea3580cc3d76,22029750,0x00000000000000000000000000000000000000000000127e7c9e56145d6a31f90000000000000000000000000000000000000000000000000000993bced83d17
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x93793bd1f3e35a0efd098c30e486a860a0ef7551,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,22029750,3,0x2edff7bbf50f6fb1b61966899ca4b53ccd79871e59b154ff4dda6219149298d8,22029750,0x0000000000000000000000000000000000000000000038d63e52871ab71d5c08000000000000000000000000000000000000000000000530d2d1a2279397cb49
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,4092590816266560374,3,0x2edff7bbf50f6fb1b61966899ca4b53ccd79871e59b154ff4dda6219149298d8,22029750,0x0000000000000000000000000000000000000000000038d63e52871ab71d5c08000000000000000000000000000000000000000000000530d2d1a2279397cb49
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,44940057074381888706,3,0x2edff7bbf50f6fb1b61966899ca4b53ccd79871e59b154ff4dda6219149298d8,22029750,0x0000000000000000000000000000000000000000000038d63e52871ab71d5c08000000000000000000000000000000000000000000000530d2d1a2279397cb49
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x93793bd1f3e35a0efd098c30e486a860a0ef7551,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,22029750,4,0xc00bd60f0f1d33513270c8e499230012a799e4abdb3eccfd8011a075276f17df,22029750,0x0000000000000000000000000000000000000000000095052e3a893d0d584a2e000000000000000000000000000000000000000000000023f01824548676c2f1
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x360acf12e72044ba3eaaa654e51e4725c699dcb1,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,458800079020913441,4,0xc00bd60f0f1d33513270c8e499230012a799e4abdb3eccfd8011a075276f17df,22029750,0x0000000000000000000000000000000000000000000095052e3a893d0d584a2e000000000000000000000000000000000000000000000023f01824548676c2f1
0x6985884c4392d348587b19cb9eaaf157f13271cd,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0x360acf12e72044ba3eaaa654e51e4725c699dcb1,488158399952669105428,4,0xc00bd60f0f1d33513270c8e499230012a799e4abdb3eccfd8011a075276f17df,22029750,0x0000000000000000000000000000000000000000000095052e3a893d0d584a2e000000000000000000000000000000000000000000000023f01824548676c2f1
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x93793bd1f3e35a0efd098c30e486a860a0ef7551,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,22029750,5,0x0634cbfb97b62d5a345a69ed789ff5846adcd07285e7873253d8a4010bc2911d,22029750,0x0000000000000000000000000000000000000000000000000000003abc149ff70000000000000000000000000000000000000000000016d9dee993038cc6f114
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,13290663,5,0x0634cbfb97b62d5a345a69ed789ff5846adcd07285e7873253d8a4010bc2911d,22029750,0x0000000000000000000000000000000000000000000000000000003abc149ff70000000000000000000000000000000000000000000016d9dee993038cc6f114
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,5687906390660032992,5,0x0634cbfb97b62d5a345a69ed789ff5846adcd07285e7873253d8a4010bc2911d,22029750,0x0000000000000000000000000000000000000000000000000000003abc149ff70000000000000000000000000000000000000000000016d9dee993038cc6f114
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x93793bd1f3e35a0efd098c30e486a860a0ef7551,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,22029750,6,0x86413111498d39671dbc315a10222017cb8992f64daad365e9e309b7e26206a8,22029750,0x00000000000000000000000000000000000000000005f6ff879563c50e65a9000000000000000000000000000000000000000000000000caad9b9906f8f94ab1
0x6b175474e89094c44da98b954eedeac495271d0f,0x60594a405d53811d3bc4766596efd80fd545a270,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,1744716393219486821515,6,0x86413111498d39671dbc315a10222017cb8992f64daad365e9e309b7e26206a8,22029750,0x00000000000000000000000000000000000000000005f6ff879563c50e65a9000000000000000000000000000000000000000000000000caad9b9906f8f94ab1
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0x60594a405d53811d3bc4766596efd80fd545a270,904826771156998147,6,0x86413111498d39671dbc315a10222017cb8992f64daad365e9e309b7e26206a8,22029750,0x00000000000000000000000000000000000000000005f6ff879563c50e65a9000000000000000000000000000000000000000000000000caad9b9906f8f94ab1
0xdac17f958d2ee523a2206206994597c13d831ec7,0xb2f72662ed42067ccce278f8462a0215b6adcabb,0xc3a99a855d060d727367c599ecb2423e0bebee24,43147279641,7,0xb76361679b0934374b6967919ba6bbdb59866763992008f960236907932bc09e,22029750,0x0000000000000000000000000000000000000000000003f3d6abcde12508e2ed00000000000000000000000000000000000000000000000000003173728650e2
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd17b3c9784510e33cd5b87b490e79253bcd81e2e,0xb2f72662ed42067ccce278f8462a0215b6adcabb,43139969083,7,0xb76361679b0934374b6967919ba6bbdb59866763992008f960236907932bc09e,22029750,0x0000000000000000000000000000000000000000000003f3d6abcde12508e2ed00000000000000000000000000000000000000000000000000003173728650e2
0x68749665ff8d2d112fa859aa293f07a622782f38,0xa91f80380d9cc9c86eb98d2965a0ded9e2000791,0xb2f72662ed42067ccce278f8462a0215b6adcabb,2354530,7,0xb76361679b0934374b6967919ba6bbdb59866763992008f960236907932bc09e,22029750,0x0000000000000000000000000000000000000000000003f3d6abcde12508e2ed00000000000000000000000000000000000000000000000000003173728650e2
0xdac17f958d2ee523a2206206994597c13d831ec7,0xb2f72662ed42067ccce278f8462a0215b6adcabb,0xa91f80380d9cc9c86eb98d2965a0ded9e2000791,6862896467,7,0xb76361679b0934374b6967919ba6bbdb59866763992008f960236907932bc09e,22029750,0x0000000000000000000000000000000000000000000003f3d6abcde12508e2ed00000000000000000000000000000000000000000000000000003173728650e2
0x45804880de22913dafe09f4980848ece6ecbaf78,0xed7ef9a9a05a48858a507c080def0405ad1eaa3e,0xb2f72662ed42067ccce278f8462a0215b6adcabb,2350080527878965767,7,0xb76361679b0934374b6967919ba6bbdb59866763992008f960236907932bc09e,22029750,0x0000000000000000000000000000000000000000000003f3d6abcde12508e2ed00000000000000000000000000000000000000000000000000003173728650e2
0x68749665ff8d2d112fa859aa293f07a622782f38,0xb2f72662ed42067ccce278f8462a0215b6adcabb,0xed7ef9a9a05a48858a507c080def0405ad1eaa3e,2354530,7,0xb76361679b0934374b6967919ba6bbdb59866763992008f960236907932bc09e,22029750,0x0000000000000000000000000000000000000000000003f3d6abcde12508e2ed00000000000000000000000000000000000000000000000000003173728650e2
0x45804880de22913dafe09f4980848ece6ecbaf78,0xb431c70f800100d87554ac1142c4a94c5fe4c0c4,0xb2f72662ed42067ccce278f8462a0215b6adcabb,14776616732171326456,7,0xb76361679b0934374b6967919ba6bbdb59866763992008f960236907932bc09e,22029750,0x0000000000000000000000000000000000000000000003f3d6abcde12508e2ed00000000000000000000000000000000000000000000000000003173728650e2
