token_address,from_address,to_address,value,transaction_index,transaction_hash,block_number,reserve_data
0x4d38bd670764c49cce1e59eeaebd05974760acbd,0x9658120b33fd2678e43acedb264a33095e46c7ba,0x1d150609ee9edcc6143506ba55a4faaedd562cd9,17100000000000000,0,0xb8622fbab2bdb2d1e399a54bbc49d5263ffa62e368442da031d140f8abeadf9a,2585773,
0x4d38bd670764c49cce1e59eeaebd05974760acbd,0xdc0783d5f455abb25d753213ea0f6964d86fcec4,0x1d150609ee9edcc6143506ba55a4faaedd562cd9,19400000000000000,1,0x4083b96e88225f30ecf4d692fc87201c394b6b576124dba85333251137fc9c8b,2585773,
0x4d38bd670764c49cce1e59eeaebd05974760acbd,0x39132f4fc64963b42bbd9d8bb574fffeb0ecc8c5,0x1d150609ee9edcc6143506ba55a4faaedd562cd9,16800000000000000,2,0xc142bbf5cbbdf4f3df1fc5dd397957d487eab1de327198e1ba172b503a56606d,2585773,
0x4d38bd670764c49cce1e59eeaebd05974760acbd,0x1d150609ee9edcc6143506ba55a4faaedd562cd9,0x0000000000000000000000000000000000000000,12800000000000000,3,0x2c0bd8af713066fbed8eb50923525693540f00b306a72367e7be9d1c1a2b7a0d,2585773,
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x634bb611c43b2c839f1e3230f628923cf2f80371,0x9e2ddb3386d5dce991a2595e8bc44756f864c6e3,16000000000000000,4,0x92253dec5ea1c7af3e250628d37b17b0205bf54ecc98d43340a5729400145324,2585773,
0x4d38bd670764c49cce1e59eeaebd05974760acbd,0x0000000000000000000000000000000000000000,0x634bb611c43b2c839f1e3230f628923cf2f80371,15999720910378357,4,0x92253dec5ea1c7af3e250628d37b17b0205bf54ecc98d43340a5729400145324,2585773,
0x4d38bd670764c49cce1e59eeaebd05974760acbd,0x6a048cee4fd4182d414c7c4708147c7af076c250,0x1d150609ee9edcc6143506ba55a4faaedd562cd9,30000000000000000,8,0x7899f092a9c6fda94007ed6b1266f67d942413f38d06786b9cbc87d3e563c7d9,2585773,
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x8b915aaefded66251866fd1699eb556c5794d03b,0x0000000000000000000000000000000000011111,4141322866930239,12,0xe3b1c47e7f902706aee3b5dbdf11130050093df93f1b2542ecba5ceb6379295b,2585773,
