token_address,from_address,to_address,value,transaction_index,transaction_hash,block_number,reserve_data
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0xe1bc15146b596121eafec1bae69e256787e207f6,0x9e2ddb3386d5dce991a2595e8bc44756f864c6e3,19300000000000000,0,0x0adce390093480a8a7dc08f884c5f050c769323686c54bd43c2d42ea1f31bdf7,2585772,
0x4d38bd670764c49cce1e59eeaebd05974760acbd,0x0000000000000000000000000000000000000000,0xe1bc15146b596121eafec1bae69e256787e207f6,19299663348144118,0,0x0adce390093480a8a7dc08f884c5f050c769323686c54bd43c2d42ea1f31bdf7,2585772,
0x4d38bd670764c49cce1e59eeaebd05974760acbd,0xe9ce196b7cd8cce097faa3bd526f3dbf13ee0969,0x1d150609ee9edcc6143506ba55a4faaedd562cd9,13900000000000000,1,0xf9b3155932fcc2f236d6e8f11fd7beba8b9d33f898d77b5c569924946026c04e,2585772,
0x4d38bd670764c49cce1e59eeaebd05974760acbd,0x5307c68f01f9ab24790fccbf21c1b4230cf14f5a,0x1d150609ee9edcc6143506ba55a4faaedd562cd9,18900000000000000,2,0x145d92e8fc7de2dcca827005317e4716ab1f1192824249b5542029bfc6f1893f,2585772,
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x8361af4aab80bbbf46cb426deec4ffe603573507,0x9e2ddb3386d5dce991a2595e8bc44756f864c6e3,11600000000000000,3,0x724d0dd80a665c273d8ad0f58ab930b3f3edf4567519e5b241af36fc57546e65,2585772,
0x4d38bd670764c49cce1e59eeaebd05974760acbd,0x0000000000000000000000000000000000000000,0x8361af4aab80bbbf46cb426deec4ffe603573507,11599797660024444,3,0x724d0dd80a665c273d8ad0f58ab930b3f3edf4567519e5b241af36fc57546e65,2585772,
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x6a048cee4fd4182d414c7c4708147c7af076c250,0x9e2ddb3386d5dce991a2595e8bc44756f864c6e3,50000000000000000,4,0xc85292c0579d0f683a8c9b7130af5cf0c3c476673cd6359d32faaef2ae890ad9,2585772,
0x4d38bd670764c49cce1e59eeaebd05974760acbd,0x0000000000000000000000000000000000000000,0x6a048cee4fd4182d414c7c4708147c7af076c250,49999127844932948,4,0xc85292c0579d0f683a8c9b7130af5cf0c3c476673cd6359d32faaef2ae890ad9,2585772,
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x1d310dbd12119ec6b3cec329bf0b444903d67950,0x9e2ddb3386d5dce991a2595e8bc44756f864c6e3,12110929390390690,6,0x81a9d3b8c1f014e32867b138aba5c33a8e3cd90642ceda4346e475c463d84609,2585772,
0x4d38bd670764c49cce1e59eeaebd05974760acbd,0x0000000000000000000000000000000000000000,0x1d310dbd12119ec6b3cec329bf0b444903d67950,12110718138221999,6,0x81a9d3b8c1f014e32867b138aba5c33a8e3cd90642ceda4346e475c463d84609,2585772,
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0xdd11751cdd3f6eff01b1f6151b640685bfa5db4a,0x03b1f066125897834e46abd7dc6415d8759f8372,4200614982011178,29,0x7af770152c2ed6593fd7a2541dc5a3db1e6bd193da7339cf8e6627572a84a4ff,2585772,
