token_address,from_address,to_address,value,transaction_index,transaction_hash,block_number,reserve_data
0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0x5c095e56535c8dcc93f4f1714a47ba8ee5edcc53,0xafec0c8f548b0b0210d61ce36ec14b0853785c3e,10000000000000000,0,0x9713661d65b0337d398d154e2a961c5f5d323c478e4d7d5c2dd6fecb47175146,2271622,
0xce8e9a7d9e21253d3f4b0b0376cf1ff91891caec,0x11e6a4676bc89d8a7b76478d2fb33ef90d22da01,0x1cc449394d1f84750bad27cfb4c63365ca8ff83c,500000000000000000000,1,0x885513ec0e3a83be49d362f0b6d81abb49c2e0fc8997190d20cc25beb56fcffe,2271622,0x000000000000000000000000000000000000000000000054a23fc7ef7c60f0a200000000000000000000000000000000000000000000002725eaf6e189f2855f
0xf4972b34a227a5fb978a82a090045a472cd1cc46,0x1cc449394d1f84750bad27cfb4c63365ca8ff83c,0x11e6a4676bc89d8a7b76478d2fb33ef90d22da01,339227645183710161104,1,0x885513ec0e3a83be49d362f0b6d81abb49c2e0fc8997190d20cc25beb56fcffe,2271622,0x000000000000000000000000000000000000000000000054a23fc7ef7c60f0a200000000000000000000000000000000000000000000002725eaf6e189f2855f
0xce8e9a7d9e21253d3f4b0b0376cf1ff91891caec,0xea57d4a208e9f24150f404928357172daf6fa60a,0x1cc449394d1f84750bad27cfb4c63365ca8ff83c,500000000000000000000,2,0x3d460527b16dfe970840d8dca83b5adc6d670b73baf7f97ce7f46aff185ebc3c,2271622,0x00000000000000000000000000000000000000000000006fbd249ed26bb0f0a200000000000000000000000000000000000000000000001dac60f3f1187b2bb5
0xf4972b34a227a5fb978a82a090045a472cd1cc46,0x1cc449394d1f84750bad27cfb4c63365ca8ff83c,0xea57d4a208e9f24150f404928357172daf6fa60a,174778512320480369066,2,0x3d460527b16dfe970840d8dca83b5adc6d670b73baf7f97ce7f46aff185ebc3c,2271622,0x00000000000000000000000000000000000000000000006fbd249ed26bb0f0a200000000000000000000000000000000000000000000001dac60f3f1187b2bb5
0xf4972b34a227a5fb978a82a090045a472cd1cc46,0x11e6a4676bc89d8a7b76478d2fb33ef90d22da01,0x1cc449394d1f84750bad27cfb4c63365ca8ff83c,339000000000000000000,3,0x7d19b145e529384bf8813547af8726ee207cbc3c172be2f5425fc290613ae3ac,2271622,0x000000000000000000000000000000000000000000000045153aca1e6c86b4db0000000000000000000000000000000000000000000000300cf2e3d7c1e72bb5
0xce8e9a7d9e21253d3f4b0b0376cf1ff91891caec,0x1cc449394d1f84750bad27cfb4c63365ca8ff83c,0x11e6a4676bc89d8a7b76478d2fb33ef90d22da01,786862686839253908423,3,0x7d19b145e529384bf8813547af8726ee207cbc3c172be2f5425fc290613ae3ac,2271622,0x000000000000000000000000000000000000000000000045153aca1e6c86b4db0000000000000000000000000000000000000000000000300cf2e3d7c1e72bb5
0xf4972b34a227a5fb978a82a090045a472cd1cc46,0xafec0c8f548b0b0210d61ce36ec14b0853785c3e,0x1cc449394d1f84750bad27cfb4c63365ca8ff83c,177000000000000000000,4,0x9252f10cd66f22992ae6eb3606cf75d565a1532242f882903b30754378da8805,2271622,0x0000000000000000000000000000000000000000000000399cdf5bcb6daf7823000000000000000000000000000000000000000000000039a551360e7e0b2bb5
0xce8e9a7d9e21253d3f4b0b0376cf1ff91891caec,0x1cc449394d1f84750bad27cfb4c63365ca8ff83c,0xafec0c8f548b0b0210d61ce36ec14b0853785c3e,211586831620978982072,4,0x9252f10cd66f22992ae6eb3606cf75d565a1532242f882903b30754378da8805,2271622,0x0000000000000000000000000000000000000000000000399cdf5bcb6daf7823000000000000000000000000000000000000000000000039a551360e7e0b2bb5
0xf4972b34a227a5fb978a82a090045a472cd1cc46,0xea57d4a208e9f24150f404928357172daf6fa60a,0x746f3fa1f06b0241368005fa5e861d4ecf50713f,10000000000000000000,5,0x2dfb77f728a463d21fd95b75ac11b456b1b5f209fbedc02c01566b716c4cc5b9,2271622,
0xce8e9a7d9e21253d3f4b0b0376cf1ff91891caec,0x11e6a4676bc89d8a7b76478d2fb33ef90d22da01,0xfd495fa2ccb731862e896321c1a8eec71aad55a3,10000000000000000000,6,0x5b65b24d146b4c8ff0dc998923c7100c621f5cba67924cc2f0325b40707c110a,2271622,
